noXtree,noXactual,noXtree1,noXtree2,treeXactual,treeXtree1,treeXtree2,tree1Xactual,tree2Xactual
0.8546678,0.7591483,0.79755074,0.5606559,0.7514255,0.8593305,0.5595629,0.72602034,0.5259559
0.77902675,0.6286365,0.68860066,0.6940796,0.7071018,0.74122745,0.6979071,0.7260919,0.6218394
0.7435844,0.7218964,0.77189463,0.7358016,0.67051536,0.91424465,0.7293878,0.7147781,0.6703311
0.770577,0.7291096,0.6874116,0.636599,0.70951426,0.6676843,0.6504557,0.7372748,0.6597311
0.7621811,0.6925632,0.75533533,0.69004405,0.6952767,0.76639336,0.71739805,0.69354254,0.7009319
0.77189386,0.72860736,0.7848073,0.7180041,0.7441436,0.74761283,0.7007187,0.69706136,0.6651523
0.7368523,0.7308343,0.74110836,0.7027242,0.7482867,0.7662221,0.66237795,0.7075455,0.69196886
0.7294567,0.70201087,0.7305486,0.75892013,0.7384538,0.7876223,0.681901,0.71852285,0.63722014
0.7297589,0.6580048,0.70489705,0.5416277,0.7504324,0.80616075,0.5654817,0.7747241,0.5299246
0.76061505,0.713617,0.7735376,0.6975179,0.6816438,0.84208626,0.65253174,0.69044876,0.69417226
0.7303067,0.65068877,0.7368318,0.6613289,0.7425907,0.8482933,0.71747875,0.7382953,0.66836154
0.7687086,0.7194924,0.81475115,0.70387435,0.7754931,0.7898919,0.68939644,0.7433343,0.6542338
0.6546957,0.7137084,0.72159606,0.50827074,0.6737987,0.7523715,0.5219248,0.69273907,0.51045704
0.75209326,0.6693619,0.670298,0.7032648,0.77043205,0.72649086,0.74375635,0.6660434,0.6762622
